prolific_id,id,pe.smoothed_derived,utt.standardized,RT.pe,pe_task,custom_response,RT.uc,cost.uc,uc_task,education,gender,age,timeSpent
5ee454ad40c72e152991826e,if1_hh,0.67999928000288,green falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.18000127999488005,blue does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.32000071999712004,green does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.6951214753134748,if blue falls green falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.6111098765569272,if blue does not fall green falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.8382342993108843,if green falls blue falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.7812482421984862,if green does not fall blue falls,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.30487852468652515,if blue falls green does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.3888901234430729,if blue does not fall green does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.16176570068911564,if green falls blue does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.21875175780151376,if green does not fall blue does not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.81999872000512,blue might fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.18000127999488005,blue might not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.67999928000288,green might fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,if1_hh,0.32000071999712004,green might not fall,12991,NA,Both the blue and the green blocks will fall.,22805,2,both blocks fall,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_hh,0.07000071999712003,blue falls but green does not fall,13934,0.07,,19957,5,the green block falls but the blue block does not,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_hh,0.31999972000112004,green falls but blue does not fall,13934,0.32,,19957,5,the green block falls but the blue block does not,Higher Degree,male,48,22.705416666666668
5ee454ad40c72e152991826e,independent_hh,0.60999856000576,both blocks fall,13934,0.61,,19957,5,the green block falls but the blue block does not,Higher Degree,male,48,22.705416666666668
