prolific_id,id,question,response,expected,trial_name,trial_number
600a0acc35e014153906b19e,not-red-yellow,NA,ynr,ynr,attention_check,1
600a0acc35e014153906b19e,not-yellow-red,NA,rny,rny,attention_check,2
600a0acc35e014153906b19e,red-yellow,NA,both,both,attention_check,3
5bc9e924e642db0001d3a1c5,not-red-yellow,NA,ynr,ynr,attention_check,1
5bc9e924e642db0001d3a1c5,not-yellow-red,NA,rny,rny,attention_check,2
5bc9e924e642db0001d3a1c5,red-yellow,NA,both,both,attention_check,3
5dca2b39900e3e73d293e1f5,not-red-yellow,NA,ynr,ynr,attention_check,1
5dca2b39900e3e73d293e1f5,not-yellow-red,NA,rny,rny,attention_check,2
5dca2b39900e3e73d293e1f5,red-yellow,NA,both,both,attention_check,3
5f7dd3d898308b0555f4fc6c,not-red-yellow,NA,ynr,ynr,attention_check,1
5f7dd3d898308b0555f4fc6c,not-yellow-red,NA,rny,rny,attention_check,2
5f7dd3d898308b0555f4fc6c,red-yellow,NA,both,both,attention_check,3
5f29db79a451971822d81b6b,not-red-yellow,NA,ynr,ynr,attention_check,1
5f29db79a451971822d81b6b,not-yellow-red,NA,rny,rny,attention_check,2
5f29db79a451971822d81b6b,red-yellow,NA,both,both,attention_check,3
5aff2de2a415960001f26f36,not-red-yellow,NA,ynr,ynr,attention_check,1
5aff2de2a415960001f26f36,not-yellow-red,NA,rny,rny,attention_check,2
5aff2de2a415960001f26f36,red-yellow,NA,both,both,attention_check,3
5ffd35c36abf5124ac953091,not-red-yellow,NA,ynr,ynr,attention_check,1
5ffd35c36abf5124ac953091,not-yellow-red,NA,rny,rny,attention_check,2
5ffd35c36abf5124ac953091,red-yellow,NA,both,both,attention_check,3
5aa383c96219a30001f58099,not-red-yellow,NA,ynr,ynr,attention_check,1
5aa383c96219a30001f58099,not-yellow-red,NA,rny,rny,attention_check,2
5aa383c96219a30001f58099,red-yellow,NA,both,both,attention_check,3
5ff3a2554cfb7d507511d89f,not-red-yellow,NA,ynr,ynr,attention_check,1
5ff3a2554cfb7d507511d89f,not-yellow-red,NA,rny,rny,attention_check,2
