"id","prolific_id","bg","b","g","none","p_a","p_c","p_na","p_nc","p_c_given_a","p_c_given_na","p_a_given_c","p_a_given_nc","p_nc_given_a","p_nc_given_na","p_na_given_c","p_na_given_nc","p_likely_a","p_likely_na","p_likely_c","p_likely_nc"
"if1_uh","5ee454ad40c72e152991826e",0.65999836000656,0.27999988000048,9.99996000016e-07,0.06000075999696,0.93999824000704,0.65999936000256,0.06000175999296,0.34000063999744,0.702127229516533,1.6666111129629e-05,0.999998484853076,0.823527508661714,0.297872770483467,0.99998333388887,1.5151469237972e-06,0.176472491338286,0.93999824000704,0.06000175999296,0.65999936000256,0.34000063999744
"independent_uh","5ee454ad40c72e152991826e",0.51999892000432,0.16000035999856,0.26999992000032,0.0500007999968,0.67999928000288,0.78999884000464,0.32000071999712,0.21000115999536,0.764705103808518,0.843747851575928,0.658227447525449,0.761902267597451,0.235294896191482,0.156252148424072,0.341772552474551,0.238097732402549,0.67999928000288,0.32000071999712,0.78999884000464,0.21000115999536
"if1_hh","5ee454ad40c72e152991826e",0.56999872000512,0.25,0.11000055999776,0.07000071999712,0.81999872000512,0.67999928000288,0.18000127999488,0.32000071999712,0.695121475313475,0.611109876556927,0.838234299310884,0.781248242198486,0.304878524686525,0.388890123443073,0.161765700689116,0.218751757801514,0.81999872000512,0.18000127999488,0.67999928000288,0.32000071999712
"independent_hh","5ee454ad40c72e152991826e",0.60999856000576,0.07000071999712,0.31999972000112,9.99996000016e-07,0.67999928000288,0.92999828000688,0.32000071999712,0.07000171999312,0.897057655712777,0.999996875019531,0.655913643196466,0.999985714693866,0.102942344287223,3.12498046887207e-06,0.344086356803534,1.42853061341105e-05,0.67999928000288,0.32000071999712,0.92999828000688,0.07000171999312
"if2_ul","5ee454ad40c72e152991826e",0.0594066954190281,0.386138074700694,0.168317155179583,0.386138074700694,0.445544770119722,0.227723850598612,0.554455229880278,0.772276149401389,0.13333496295572,0.303572130099535,0.260871644594395,0.5,0.86666503704428,0.696427869900465,0.739128355405605,0.5,0.445544770119722,0.554455229880278,0.227723850598612,0.772276149401389
"independent_hl","5ee454ad40c72e152991826e",0.41999932000272,0.43999924000304,0.11000055999776,0.03000087999648,0.85999856000576,0.52999988000048,0.14000143999424,0.47000011999952,0.488372120064837,0.785710204139941,0.792451726597258,0.936168356730397,0.511627879935163,0.214289795860059,0.207548273402742,0.0638316432696031,0.85999856000576,0.14000143999424,0.52999988000048,0.47000011999952
"if2_ll","5ee454ad40c72e152991826e",0.18000027999888,0.14000043999824,9.99996000016e-07,0.67999828000688,0.32000071999712,0.18000127999488,0.67999928000288,0.81999872000512,0.562499609377441,1.47058391004732e-06,0.999994444506172,0.170732510408511,0.437500390622559,0.99999852941609,5.55549382784636e-06,0.829267489591489,0.32000071999712,0.67999928000288,0.18000127999488,0.81999872000512
"if1_u-Lh","5ee454ad40c72e152991826e",0.53999884000464,0.33999964000144,9.99996000016e-07,0.12000051999792,0.87999848000608,0.53999984000064,0.12000151999392,0.46000015999936,0.613636105372488,8.33319444675922e-06,0.999998148155007,0.739129395089587,0.386363894627512,0.999991666805553,1.85184499316669e-06,0.260870604910413,0.87999848000608,0.12000151999392,0.53999984000064,0.46000015999936
"independent_ul","5ee454ad40c72e152991826e",0.09000063999744,0.37999948000208,0.17000031999872,0.35999956000176,0.47000011999952,0.26000095999616,0.52999988000048,0.73999904000384,0.191490674507768,0.320755393375874,0.346155029576696,0.513513476990603,0.808509325492232,0.679244606624126,0.653844970423305,0.486486523009397,0.47000011999952,0.52999988000048,0.26000095999616,0.73999904000384
"if1_lh","5ee454ad40c72e152991826e",0.19000023999904,0.16000035999856,9.99996000016e-07,0.6499984000064,0.3500005999976,0.19000123999504,0.6499994000024,0.80999876000496,0.542856897960583,1.53845680474829e-06,0.999994736897506,0.197531611033059,0.457143102039417,0.999998461543195,5.26310249365796e-06,0.802468388966941,0.3500005999976,0.6499994000024,0.19000123999504,0.80999876000496
"if2_u-Ll","5ee454ad40c72e152991826e",0.60999856000576,0.1500003999984,9.99996000016e-07,0.24000003999984,0.75999896000416,0.60999956000176,0.24000103999584,0.39000043999824,0.802630782550572,4.16663194473379e-06,0.999998360661113,0.384615976328327,0.197369217449428,0.999995833368055,1.63933888741348e-06,0.615384023671673,0.75999896000416,0.24000103999584,0.60999956000176,0.39000043999824
"independent_ll","5ee454ad40c72e152991826e",0.06000075999696,9.99996000016e-07,0.2000001999992,0.73999804000784,0.06000175999296,0.26000095999616,0.93999824000704,0.73999904000384,0.99998333388887,0.212766568581769,0.230771301759217,1.35134769906027e-06,1.6666111129629e-05,0.787233431418231,0.769228698240783,0.999998648652301,0.06000175999296,0.93999824000704,0.26000095999616,0.73999904000384
"if2_hl","5df009be35886f068d794ebd",0.404039781657448,0.0404048872529808,0.222222334455214,0.333332996634357,0.444444668910429,0.626262116112662,0.555555331089571,0.373737883887338,0.909089049595229,0.400000363635041,0.645160822061864,0.108110226431208,0.0909109504047709,0.599999636364959,0.354839177938136,0.891889773568792,0.444444668910429,0.555555331089571,0.626262116112662,0.373737883887338
"if1_u-Lh","5df009be35886f068d794ebd",0.36999952000192,0.21000015999936,9.99996000016e-07,0.41999932000272,0.57999968000128,0.37000051999792,0.42000031999872,0.62999948000208,0.637930558860142,2.38094104313789e-06,0.999997297311906,0.333333862432183,0.362069441139858,0.999997619058957,2.70268809357787e-06,0.666666137567817,0.57999968000128,0.42000031999872,0.37000051999792,0.62999948000208
"independent_ul","5df009be35886f068d794ebd",0.32999968000128,0.53999884000464,0.03000087999648,0.1000005999976,0.86999852000592,0.36000055999776,0.13000147999408,0.63999944000224,0.379310622274432,0.230773372717343,0.916664351864712,0.843748925784607,0.620689377725568,0.769226627282657,0.0833356481352881,0.156251074215393,0.86999852000592,0.13000147999408,0.36000055999776,0.63999944000224
"if1_hh","5df009be35886f068d794ebd",0.396039025588018,0.247524762278169,9.90095088732322e-07,0.356435222038725,0.643563787866187,0.396040015683106,0.356436212133813,0.603959984316894,0.615384260356122,2.77776234576475e-06,0.9999975000125,0.409836361192258,0.384615739643878,0.999997222237654,2.4999875000625e-06,0.590163638807742,0.643563787866187,0.356436212133813,0.396040015683106,0.603959984316894
"independent_ll","5df009be35886f068d794ebd",0.07000071999712,0.50999896000416,0.02000091999632,0.3999994000024,0.57999968000128,0.09000163999344,0.42000031999872,0.90999836000656,0.12069096313461,0.0476212018038009,0.777771605075443,0.560439427605654,0.87930903686539,0.952378798196199,0.222228394924557,0.439560572394346,0.57999968000128,0.42000031999872,0.09000163999344,0.90999836000656
"if2_u-Ll","5df009be35886f068d794ebd",0.50999896000416,9.99996000016e-07,0.25,0.24000003999984,0.50999996000016,0.75999896000416,0.49000003999984,0.24000103999584,0.999998039223376,0.51020403998351,0.671052181441628,4.16663194473379e-06,1.96077662440539e-06,0.48979596001649,0.328947818558372,0.999995833368055,0.50999996000016,0.49000003999984,0.75999896000416,0.24000103999584
"independent_hl","5df009be35886f068d794ebd",0.31999972000112,0.25,0.1000005999976,0.32999968000128,0.56999972000112,0.42000031999872,0.43000027999888,0.57999968000128,0.561403293321778,0.232559383444728,0.761903514745168,0.431034720569929,0.438596706678222,0.767440616555272,0.238096485254832,0.568965279430071,0.56999972000112,0.43000027999888,0.42000031999872,0.57999968000128
"if2_ll","5df009be35886f068d794ebd",0.414140750946461,1.0100969289013e-06,0.424241720235474,0.161616518721136,0.41414176104339,0.838382471181935,0.58585823895661,0.161617528818065,0.999997560987507,0.72413715814773,0.493975918130318,6.24992187597655e-06,2.43901249262199e-06,0.27586284185227,0.506024081869682,0.999993750078124,0.41414176104339,0.58585823895661,0.838382471181935,0.161617528818065
"if1_uh","5df009be35886f068d794ebd",0.37999948000208,0.25999996000016,9.99996000016e-07,0.35999956000176,0.63999944000224,0.38000047999808,0.36000055999776,0.61999952000192,0.593749707032166,2.77776234576475e-06,0.999997368434903,0.41935509885452,0.406250292967834,0.999997222237654,2.63156509702581e-06,0.58064490114548,0.63999944000224,0.36000055999776,0.38000047999808,0.61999952000192
"independent_uh","5df009be35886f068d794ebd",0.25,0.31999972000112,0.24000003999984,0.19000023999904,0.56999972000112,0.49000003999984,0.43000027999888,0.50999996000016,0.438596706678222,0.558139264468537,0.51020403998351,0.627450480586351,0.561403293321778,0.441860735531463,0.48979596001649,0.372549519413649,0.56999972000112,0.43000027999888,0.49000003999984,0.50999996000016
